org_id,pc1,pc2
ORG_560480227,0.01201216,-0.011372952
ORG_010527789,0.05113114,-0.0958102
ORG_137230522,-0.024190065,-0.117565274
ORG_161080510,0.09977973,-0.051724546
ORG_475466505,0.035422772,-0.10900124
ORG_882386593,0.138025,-0.015524244
ORG_923282413,-0.08288692,0.051244263
ORG_205518229,0.037716474,0.20025359
ORG_873372236,-0.037425224,-0.00027032298
ORG_274395371,-0.0389064,-0.077098034
ORG_883225438,0.052451883,0.06134876
ORG_862428511,0.058625672,-0.03338249
ORG_880614802,0.090299234,0.02338917
ORG_310928020,-0.14523718,0.024365986
ORG_922696949,0.008157896,-0.0858251
ORG_042453627,0.028395645,-0.13001208
ORG_521404497,0.00077680376,0.09282687
ORG_391785071,0.05763155,0.007852641
ORG_396083749,-0.15438385,0.042855255
ORG_311630212,-0.021224702,-0.13942394
ORG_874568162,0.12727389,0.29904076
ORG_222567771,0.0056092828,-0.13973448
ORG_222215054,-0.013415045,0.013376678
ORG_030362871,-0.0047219936,-0.062031236
ORG_470661418,0.09634822,0.18798141
ORG_364393600,0.06927836,-0.118131354
ORG_454972377,-0.01625731,-0.054287072
ORG_205391726,0.024245821,0.054002378
ORG_260007210,0.08690835,-0.04153152
ORG_871539023,0.0015136488,-0.061339486
ORG_232944973,0.0029136734,-0.13222183
ORG_843343070,0.094950765,0.048827898
ORG_043399927,0.14125524,0.16993456
ORG_222797177,-0.03395173,-0.040493455
ORG_060991646,-0.078058705,0.02872668
ORG_133707563,0.068596944,-0.13794157
ORG_261987732,0.0326932,-0.05080004
ORG_203398037,0.033755377,-0.06347562
ORG_454385668,0.085434124,0.31276476
ORG_043269615,0.05977696,-0.065680124
ORG_813246571,0.0046075922,-0.016127283
ORG_260158521,0.04772445,-0.082560256
ORG_474246125,-0.037764516,-0.058392327
ORG_823335113,-0.006086224,-0.068154395
ORG_364491491,-0.0026659484,-0.05495741
ORG_112489462,0.0026793827,0.047430564
ORG_871821773,0.17082575,0.21191378
ORG_391373112,-0.13836259,0.08145168
ORG_464301063,-0.24383754,0.0048067034
ORG_411462376,0.0012085618,-0.045868754
ORG_850922929,-0.004171203,-0.20702367
ORG_884101480,0.14279763,0.21553788
ORG_271234120,-0.07415698,-0.11481752
ORG_311202451,0.029005565,-0.09290723
ORG_341328014,0.07823486,0.05636215
ORG_411640340,0.051844485,-0.035454884
ORG_743217479,-0.039586294,-0.14299886
ORG_364185952,-0.000605087,-0.07134167
ORG_330689040,0.09635054,-0.06821398
ORG_611388109,0.12857977,0.2280567
ORG_454878288,-0.07412425,0.03338389
ORG_202048638,0.023100162,-0.05828869
ORG_300749639,0.054872528,0.015437865
ORG_223658504,-0.09054624,-0.075216204
ORG_872402543,-0.18804061,-0.07404415
ORG_416080057,-0.02812188,-0.01414433
ORG_821996403,0.0022182057,-0.03085361
ORG_465017871,0.034604903,-0.09217909
ORG_841836007,0.030509355,-0.07638468
ORG_873855511,0.11310556,0.13050981
ORG_611935158,0.07262808,0.0051320554
ORG_883916592,0.064905785,0.15790085
ORG_341329728,0.010146257,-0.016797908
ORG_561287954,0.12489536,0.099471055
ORG_363259666,0.05468962,-0.058987338
ORG_994981721,0.01606538,-0.034376536
ORG_815414937,0.061765224,0.2917621
ORG_825485433,0.095588885,0.0015534869
ORG_556016701,-0.01779455,-0.16767238
ORG_383852071,0.18460232,0.42507184
ORG_825026740,-0.008308621,-0.03562504
ORG_205217564,0.09554175,0.21971326
ORG_825231485,0.055965554,-0.013112382
ORG_300995806,0.09441123,0.20555878
ORG_475005502,-0.11005772,-0.060374897
ORG_391931689,0.016720189,-0.01539561
ORG_270821447,0.06319954,-0.2590125
ORG_274019881,0.012343917,-0.0334711
ORG_901016178,0.04342061,-0.0637383
ORG_223832741,-0.15174098,0.012321606
ORG_066013384,-0.02588355,-0.026542017
